Using cpu device
[34m[1mwandb[0m: [33mWARNING[0m Found log directory outside of given root_logdir, dropping given root_logdir for event file in C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ppo_wandb_logs\ppo_wandb_highsev_3
Logging to C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ppo_wandb_logs\ppo_wandb_highsev_3
Episode Reward: -19.197199 | Episode Length: 21 | Episode Outcome: death (HR) | Hemorrhage: ('liver', np.float64(0.2))
Episode Reward: -16.205308 | Episode Length: 21 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(0.9))
Episode Reward: -13.96696 | Episode Length: 21 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(1.0))
Episode Reward: -16.481768 | Episode Length: 21 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(0.9))
Episode Reward: -19.738104 | Episode Length: 24 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(1.0))
Episode Reward: -24.61429 | Episode Length: 30 | Episode Outcome: failed to advance | Hemorrhage: ('liver', np.float64(0.3))
Episode Reward: -27.49556 | Episode Length: 39 | Episode Outcome: death (HR) | Hemorrhage: ('liver', np.float64(0.2))
Episode Reward: -21.961824 | Episode Length: 24 | Episode Outcome: failed to advance | Hemorrhage: ('liver', np.float64(0.4))
Episode Reward: -20.501361 | Episode Length: 26 | Episode Outcome: death (HR) | Hemorrhage: ('liver', np.float64(0.2))
Episode Reward: -20.048737 | Episode Length: 26 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(0.9))
Episode Reward: -41.842905 | Episode Length: 48 | Episode Outcome: failed to advance | Hemorrhage: ('liver', np.float64(0.4))
Episode Reward: -22.717413 | Episode Length: 29 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(0.9))
Episode Reward: -17.051317 | Episode Length: 16 | Episode Outcome: failed to advance | Hemorrhage: ('liver', np.float64(0.4))
Episode Reward: -21.037549 | Episode Length: 28 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(1.0))
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 26.7     |
|    ep_rew_mean     | -21.6    |
| time/              |          |
|    fps             | 1        |
|    iterations      | 1        |
|    time_elapsed    | 332      |
|    total_timesteps | 512      |
---------------------------------
Episode Reward: -15.954625 | Episode Length: 21 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(0.9))
Episode Reward: -5.847083 | Episode Length: 21 | Episode Outcome: stabilization | Hemorrhage: ('liver', np.float64(0.2))
Episode Reward: -18.449953 | Episode Length: 22 | Episode Outcome: failed to advance | Hemorrhage: ('liver', np.float64(0.4))
Episode Reward: -19.281659 | Episode Length: 21 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(0.9))
Episode Reward: -9.391712 | Episode Length: 6 | Episode Outcome: failed to advance | Hemorrhage: ('liver', np.float64(0.4))
Episode Reward: -44.712976 | Episode Length: 62 | Episode Outcome: truncated | Hemorrhage: ('liver', np.float64(0.4))
Episode Reward: -19.506568 | Episode Length: 30 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(1.0))
Episode Reward: -19.374364 | Episode Length: 21 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(0.9))
Episode Reward: -22.612456 | Episode Length: 30 | Episode Outcome: death (HR) | Hemorrhage: ('spleen', np.float64(1.0))
