bv1,bv2,bv3,severity,label
4672.020119299385,4661.731008501948,4651.516970324574,0.05,0
4672.020119299385,4649.813506714858,4627.9591001707895,0.1,0
4672.020119299385,4636.956158414749,4602.775979689379,0.15,0
4672.020119299385,4652.3120347735685,4633.303977165901,0.5,0
4672.020119299385,4646.909993388704,4622.921291362636,0.6,0
4672.020119299385,4641.4113924232915,4612.436327066221,0.7,0
4672.020119299385,4636.079020009769,4602.353408607394,0.8,0
4672.020119299385,4623.154570597135,4575.960867326101,0.2,1
4672.020119299385,4608.421407490362,4547.897916892638,0.25,1
4672.020119299385,4592.78964440004,4518.276909693048,0.3,1
4672.020119299385,4659.788596093649,4647.839909966847,0.35,1
4672.020119299385,4559.080980333165,4455.777720549735,0.4,1
4672.020119299385,4631.192495468062,4593.1879874199,0.9,1
4672.020119299385,4627.003757859652,4585.385945167676,1.0,1
6486.329450519526,6475.9662666192,6465.708813448994,0.05,0
6486.329450519526,6464.119769404677,6442.283303675953,0.1,0
6486.329450519526,6451.288481361828,6417.090675107109,0.15,0
6486.329450519526,6466.420373702696,6447.386005898161,0.5,0
6486.329450519526,6460.939426065719,6436.910026834518,0.6,0
6486.329450519526,6455.3346251242865,6426.640324574899,0.7,0
6486.329450519526,6449.863178086469,6416.443726301091,0.8,0
6486.329450519526,6437.45555869869,6390.140254597792,0.2,1
6486.329450519526,6422.641740904384,6362.21313260664,0.25,1
6486.329450519526,6406.8265749282455,6332.152206540324,0.3,1
6486.329450519526,6473.955443071327,6461.952506773873,0.35,1
6486.329450519526,6372.437099832234,6267.833405225902,0.4,1
6486.329450519526,6444.822536513287,6407.138917176463,0.9,1
6486.329450519526,6440.481386581663,6399.192198197064,1.0,1
3759.9356278674695,3750.360409968241,3740.861820838859,0.05,0
3759.9356278674695,3739.1634541417097,3718.727587036975,0.1,0
3759.9356278674695,3727.1100246354827,3695.215148425674,0.15,0
3759.9356278674695,3742.531142109584,3725.708787096879,0.5,0
3759.9356278674695,3737.7385579451006,3716.537412783782,0.6,0
3759.9356278674695,3732.867723571018,3707.23579155096,0.7,0
3759.9356278674695,3728.1484861503704,3698.273872911438,0.8,0
3759.9356278674695,3714.192761928358,3670.1985494421033,0.2,1
3759.9356278674695,3700.4427720239933,3644.3641956156343,0.25,1
3759.9356278674695,3685.8877254129566,3617.155074578143,0.3,1
3759.9356278674695,3749.1746162250056,3738.6534764913704,0.35,1
3759.9356278674695,3654.5956732399077,3559.2786625322947,0.4,1
3759.9356278674695,3723.831461747549,3690.1581762662754,0.9,1
3759.9356278674695,3720.1352965421625,3683.237862986465,1.0,1
6036.332806811872,6024.734816240508,6013.200901407279,0.05,0
6036.332806811872,6011.409394496934,5986.821590314511,0.1,0
6036.332806811872,5997.006953296025,5958.537156693037,0.15,0
6036.332806811872,6014.062550603403,5992.595004221438,0.5,0
6036.332806811872,6007.947371687577,5980.850063406412,0.6,0
6036.332806811872,6001.704166416994,5968.972387002228,0.7,0
6036.332806811872,5995.631606809365,5957.52702921529,0.8,0
6036.332806811872,5981.516215422662,5928.379116364468,0.2,1
6036.332806811872,5964.944450667525,5896.41954924409,0.25,1
6036.332806811872,5947.32133351174,5862.776693213718,0.3,1
6036.332806811872,6022.496182312646,6008.976392664903,0.35,1
6036.332806811872,5909.173664508312,5791.170066700966,0.4,1
6036.332806811872,5990.051109331999,5947.100971782987,0.9,1
6036.332806811872,5985.255554816245,5938.21048132012,1.0,1
3949.922862819658,3940.73595570732,3931.622628966634,0.05,0
3949.922862819658,3930.0042765516623,3910.411316509526,0.1,0
3949.922862819658,3918.4320417822673,3887.7592916148096,0.15,0
3949.922862819658,3933.2340981237767,3917.1461573842976,0.5,0
3949.922862819658,3928.630188526812,3908.2898893748456,0.6,0
3949.922862819658,3923.9450979492717,3899.368377800867,0.7,0
3949.922862819658,3919.4027310984925,3890.786386823275,0.8,0
3949.922862819658,3906.016690520673,3863.65861617225,0.2,1
3949.922862819658,3892.7711291304863,3838.2180109657306,0.25,1
3949.922862819658,3878.7266130831786,3811.811011044977,0.3,1
3949.922862819658,3939.6077841313654,3929.534766659449,0.35,1
3949.922862819658,3848.472644698652,3755.6664105522173,0.4,1
3949.922862819658,3915.241113237762,3882.9834063817443,0.9,1
3949.922862819658,3911.67450288647,3876.3434989928946,1.0,1
5121.846248062061,5110.934748818705,5100.193996056784,0.05,0
5121.846248062061,5098.385312273808,5075.40048212281,0.1,0
5121.846248062061,5084.840520613273,5048.823068358473,0.15,0
5121.846248062061,5100.995200607703,5080.9066572908,0.5,0
5121.846248062061,5095.291427632141,5069.911447657271,0.6,0
5121.846248062061,5089.480738912088,5058.785454744213,0.7,0
5121.846248062061,5083.840774191049,5048.093840434981,0.8,0
5121.846248062061,5070.294197488363,5020.58914245569,0.2,1
5121.846248062061,5054.757933207034,4990.7227341831085,0.25,1
5121.846248062061,5038.264545028073,4959.343763344276,0.3,1
5121.846248062061,5108.881683876228,5096.274021306523,0.35,1
5121.846248062061,5002.662908865452,4892.763960101509,0.4,1
5121.846248062061,5078.667970851954,5038.384879335502,0.9,1
5121.846248062061,5074.230385969572,5030.115126067416,1.0,1
4527.076009396444,4517.67995223186,4508.365391186867,0.05,0
4527.076009396444,4506.688109120559,4486.634591464322,0.1,0
4527.076009396444,4494.820239936982,4463.366590679679,0.15,0
4527.076009396444,4509.936801012406,4493.449270024563,0.5,0
4527.076009396444,4505.18803884826,4484.333418700862,0.6,0
4527.076009396444,4500.346693077606,4475.127145193811,0.7,0
4527.076009396444,4495.644335008985,4466.267982329624,0.8,0
4527.076009396444,4482.07007695077,4438.594448402857,0.2,1
4527.076009396444,4468.446909011599,4412.417188531708,0.25,1
4527.076009396444,4453.97866206032,4384.927913394849,0.3,1
4527.076009396444,4516.496764268149,4506.184312749971,0.35,1
4527.076009396444,4422.7289217397,4326.613730119138,0.4,1
4527.076009396444,4491.328825549799,4458.20809614975,0.9,1
4527.076009396444,4487.624791772129,4451.343052485586,1.0,1
5119.072350986366,5107.73824778821,5096.480273309151,0.05,0
5119.072350986366,5094.871140292506,5071.027620763171,0.1,0
5119.072350986366,5080.9810740219855,5043.778603595303,0.15,0
5119.072350986366,5097.518604679182,5076.7363129117575,0.5,0
5119.072350986366,5091.663564907248,5065.482316361741,0.6,0
5119.072350986366,5085.6991188692355,5054.122630116528,0.7,0
5119.072350986366,5079.910401836132,5043.196877322216,0.8,0
5119.072350986366,5066.061326853605,5014.7732073790585,0.2,1
5119.072350986366,5050.123439476603,4984.091095453089,0.25,1
5119.072350986366,5033.200799702369,4951.856596453062,0.3,1
5119.072350986366,5105.614517986971,5092.468207106613,0.35,1
5119.072350986366,4996.663887810192,4883.469890521851,0.4,1
5119.072350986366,5074.601725181132,5033.261644070183,0.9,1
5119.072350986366,5070.048103032106,5024.802866997454,1.0,1
4332.850897074708,4322.953557053275,4313.138214939236,0.05,0
4332.850897074708,4311.484230263825,4290.467688630694,0.1,0
4332.850897074708,4299.111833056092,4266.21943654324,0.15,0
4332.850897074708,4314.9279973841685,4297.660603471845,0.5,0
4332.850897074708,4309.998878126504,4288.186991720039,0.6,0
4332.850897074708,4304.979570090466,4278.627826256086,0.7,0
4332.850897074708,4300.110015472309,4269.437065561736,0.8,0
4332.850897074708,4285.832491835269,4240.433941246653,0.2,1
4332.850897074708,4271.658780779043,4213.201737895633,0.25,1
4332.850897074708,4256.62284222696,4184.644260253025,0.3,1
4332.850897074708,4321.746643630984,4310.909324109148,0.35,1
4332.850897074708,4224.207693866023,4124.14074766232,0.4,1
4332.850897074708,4295.645915254203,4261.082306486467,0.9,1
4332.850897074708,4291.818004819564,4253.971220018117,1.0,1
5578.118372421729,5567.877490385572,5557.704848531951,0.05,0
5578.118372421729,5556.081619770691,5534.365746591083,0.1,0
5578.118372421729,5543.325998192705,5509.328423982221,0.15,0
5578.118372421729,5558.427841652814,5539.50647934371,0.5,0
5578.118372421729,5553.01411852286,5529.1359009811595,0.6,0
5578.118372421729,5547.486738033783,5518.652398186933,0.7,0
5578.118372421729,5542.110234987763,5508.55465076159,0.8,0
5578.118372421729,5529.599079247652,5482.617932985453,0.2,1
5578.118372421729,5514.90559978417,5454.295129201484,0.25,1
5578.118372421729,5499.270046543121,5424.461661892214,0.3,1
5578.118372421729,5565.893390222854,5553.97776412153,0.35,1
5578.118372421729,5465.389291011558,5360.990991189536,0.4,1
5578.118372421729,5537.1693102435565,5499.359849259944,0.9,1
5578.118372421729,5532.923374554359,5491.522090051093,1.0,1
4720.607940021369,4711.138636571657,4701.750282534347,0.05,0
4720.607940021369,4700.027792077189,4679.783551021374,0.1,0
4720.607940021369,4688.028353532334,4656.255118196617,0.15,0
4720.607940021369,4703.297345641052,4686.650113798519,0.5,0
4720.607940021369,4698.4877352166395,4677.419866679362,0.6,0
4720.607940021369,4693.581627567268,4668.093287611932,0.7,0
4720.607940021369,4688.81372691805,4659.1138017214125,0.8,0
4720.607940021369,4675.133231411888,4631.19658070855,0.2,1
4720.607940021369,4661.350999040824,4604.717048262383,0.25,1
4720.607940021369,4646.709031670177,4576.890599976132,0.3,1
4720.607940021369,4709.937020244065,4699.537141382138,0.35,1
4720.607940021369,4615.066941210534,4517.865362101795,0.4,1
4720.607940021369,4684.435776842074,4650.940550794681,0.9,1
4720.607940021369,4680.676402544526,4643.976009192844,1.0,1
4719.362641381084,4708.859308699189,4698.436660935528,0.05,0
4719.362641381084,4696.6829184433645,4674.389268718323,0.1,0
4719.362641381084,4683.5456798276955,4648.786206829756,0.15,0
4719.362641381084,4700.33240773023,4681.982041936855,0.5,0
4719.362641381084,4695.091959811282,4672.0360219798495,0.6,0
4719.362641381084,4689.7521935169725,4661.876440496219,0.7,0
4719.362641381084,4684.576198897701,4652.379653423559,0.8,0
4719.362641381084,4669.444676795027,4621.524866101171,0.2,1
4719.362641381084,4654.42272650013,4593.227571779084,0.25,1
4719.362641381084,4638.455329546115,4563.087423677376,0.3,1
4719.362641381084,4707.577573879255,4696.070435306801,0.35,1
