seed,step,obs,patient_file
,1,"[ 8.3575745e+01  9.0196175e+01  9.4740936e+01  1.1456152e+02
  7.3230896e+01  9.7151142e-01  4.0390198e+01  1.8633541e+01
  3.2901081e+01  6.1685715e+00  5.4167080e+03 -6.7000002e-02
  7.4922425e-01  2.2000000e+01]",./states/Soldier@0s.json
,2,"[8.47329941e+01 1.00965912e+02 9.47092133e+01 1.13820465e+02
 7.40109940e+01 9.75844145e-01 4.01595345e+01 2.00000000e+01
 3.28870316e+01 6.02354097e+00 5.36017383e+03 2.15000007e-02
 4.02270699e+01 2.20000000e+01]",./states/Soldier@0s.json
,3,"[8.66341019e+01 1.10796074e+02 9.46166763e+01 1.13452713e+02
 7.42870712e+01 9.76889372e-01 3.99964294e+01 2.02702694e+01
 3.28739967e+01 6.05077076e+00 5.30795996e+03 6.67999983e-01
 3.26479268e+00 2.20000000e+01]",./states/Soldier@0s.json
,4,"[ 8.7186340e+01  1.1245003e+02  9.4604927e+01  1.1304907e+02
  7.4949120e+01  9.7699529e-01  3.9952751e+01  2.0270269e+01
  3.2862057e+01  5.8574185e+00  5.2598384e+03 -2.9285714e-02
  3.0567467e-01  2.2000000e+01]",./states/Soldier@0s.json
,5,"[8.8400230e+01 9.5725609e+01 9.4561783e+01 1.1277344e+02 7.5210518e+01
 9.7695267e-01 3.9961700e+01 2.0270269e+01 3.2850964e+01 5.8452573e+00
 5.2153975e+03 1.1423530e-01 3.4723965e+01 2.2000000e+01]",./states/Soldier@0s.json
,1,"[ 8.3575745e+01  9.0196175e+01  9.4740936e+01  1.1456152e+02
  7.3230896e+01  9.7151142e-01  4.0390198e+01  1.8633541e+01
  3.2901081e+01  6.1685715e+00  5.4167080e+03 -6.7000002e-02
  7.4922425e-01  2.2000000e+01]",./states/Soldier@0s.json
,2,"[8.47329941e+01 1.00965912e+02 9.47092133e+01 1.13820465e+02
 7.40109940e+01 9.75844145e-01 4.01595345e+01 2.00000000e+01
 3.28870316e+01 6.02354097e+00 5.36017383e+03 2.15000007e-02
 4.02270699e+01 2.20000000e+01]",./states/Soldier@0s.json
,3,"[8.66341019e+01 1.10796074e+02 9.46166763e+01 1.13452713e+02
 7.42870712e+01 9.76889372e-01 3.99964294e+01 2.02702694e+01
 3.28739967e+01 6.05077076e+00 5.30795996e+03 6.67999983e-01
 3.26479268e+00 2.20000000e+01]",./states/Soldier@0s.json
,4,"[ 8.7186340e+01  1.1245003e+02  9.4604927e+01  1.1304907e+02
  7.4949120e+01  9.7699529e-01  3.9952751e+01  2.0270269e+01
  3.2862057e+01  5.8574185e+00  5.2598384e+03 -2.9285714e-02
  3.0567467e-01  2.2000000e+01]",./states/Soldier@0s.json
,5,"[8.8400230e+01 9.5725609e+01 9.4561783e+01 1.1277344e+02 7.5210518e+01
 9.7695267e-01 3.9961700e+01 2.0270269e+01 3.2850964e+01 5.8452573e+00
 5.2153975e+03 1.1423530e-01 3.4723965e+01 2.2000000e+01]",./states/Soldier@0s.json
,1,"[ 8.3575745e+01  9.0196175e+01  9.4740936e+01  1.1456152e+02
  7.3230896e+01  9.7151142e-01  4.0390198e+01  1.8633541e+01
  3.2901081e+01  6.1685715e+00  5.4167080e+03 -6.7000002e-02
  7.4922425e-01  2.2000000e+01]",./states/Soldier@0s.json
,2,"[8.47329941e+01 1.00965912e+02 9.47092133e+01 1.13820465e+02
 7.40109940e+01 9.75844145e-01 4.01595345e+01 2.00000000e+01
 3.28870316e+01 6.02354097e+00 5.36017383e+03 2.15000007e-02
 4.02270699e+01 2.20000000e+01]",./states/Soldier@0s.json
